symptom,disease,doctor
"High fever, Irritability, Swollen lymph nodes, Sore throat, Cough, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Feverish",Roseola,General Physician
"High fever, Irritability, Fatigue, Headache, Cough, Vomiting, Abdominal pain, Chills, Feverish",Roseola,General Physician
"Diarrhea, Vomiting, Stomach cramps, Headache, Fatigue, Chills, Body aches, Fever",Norovirus Infection,General Physician
"Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Stomach cramps, Headache, Dehydration, Muscle aches, Feverish, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Fatigue, Loss of appetite, General discomfort",Norovirus Infection,General Physician
"Diarrhea, Vomiting, Nausea, Headache, Fatigue, Loss of appetite, Dehydration, Chills, Sweating, Fever",Norovirus Infection,General Physician
"Fever, Sores in mouth, Rash on hands and feet, Irritability, Sore throat, Blisters, Headache, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"High fever, Swollen lymph nodes, Sore throat, Cough, Red eyes, Body aches, Rashes, Feverish",Roseola,General Physician
"Nasal discharge, Fever, Sore, watery eyes, Sneezing, Severe coughing fits, Vomiting after coughing",Pertussis (Whooping Cough),General Physician
"Stomach cramps, Muscle aches, Nausea, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Sweating, Body aches, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Red lines in body folds, Strawberry tongue, Fever (100.4�F / 38.0�C or higher), Sore and red throat with patches, Difficulty swallowing, Tender, enlarged neck glands, Abdominal pain, Headache and body aches",Scarlet Fever,General Physician
"Diarrhea, Low-grade fever, Muscle aches, Nausea, Abdominal pain, Loss of appetite, Dehydration, Sweating, Irritability",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Vomiting, Bloody stools, Stomach cramps, Dehydration, Body aches, Feverish, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Loss of appetite, Abdominal pain",Roseola,General Physician
"Fever, Sore throat, Red spots, Headache, General discomfort, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Swollen glands, Fever, Red lines in body folds, Red rash on the body, Strawberry tongue, Difficulty swallowing, Tender, enlarged neck glands, Nausea or vomiting, Abdominal pain",Scarlet Fever,General Physician
"Fever, Diarrhea, Nausea, Vomiting, Bloody stools, Fatigue, Body aches, Feverish, Rashes, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Vomiting, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Swollen lymph nodes, Sore throat, Headache, Abdominal pain, Chills",Roseola,General Physician
"Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Fatigue, Muscle aches, Body aches, Feverish, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Irritability, Red spots, Blisters, Sore muscles, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Bloody stools, Loss of appetite, Muscle aches, Body aches, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Vomiting, Bloody stools, Stomach cramps, Headache, Fatigue, Loss of appetite, Muscle aches, Body aches, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Fatigue, Abdominal pain, Sweating, Body aches, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Vomiting, Stomach cramps, Headache, Fatigue, Dehydration, Muscle aches, Feverish, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Fatigue, Feverish, Rashes, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Nausea, Bloody stools, Stomach cramps, Headache, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Sore throat, Cough, Red eyes, Loss of appetite, Body aches, Feverish",Roseola,General Physician
"Sores in mouth, Rash on hands and feet, Irritability, Mouth sores, Cough, Headache","Hand, Foot, and Mouth Disease",General Physician
"Headache, Swollen, painful salivary glands, Pain while chewing or swallowing, Muscle aches, Trouble chewing, Muscle aches, Loss of appetite",Mumps,General Physician
"High fever, Runny nose, Headache, Red eyes, Loss of appetite, Body aches, Rashes",Roseola,General Physician
"Nausea, Vomiting, Bloody stools, Headache, Dehydration, Loss of appetite, Muscle aches, Feverish, Rashes",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Stomach cramps, Headache, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Low-grade fever, Muscle aches, Dehydration, Sweating, Rashes, General discomfort, Irritability",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Nausea, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Body aches, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Vomiting, Fatigue, Dehydration, Muscle aches, Rashes, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Stomach cramps, Muscle aches, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, General discomfort, Fever",Norovirus Infection,General Physician
"Diarrhea, Low-grade fever, Muscle aches, Dehydration",Norovirus Infection,General Physician
"Pain while chewing or swallowing, Muscle aches, Tiredness, Muscle aches",Mumps,General Physician
"Nausea, Bloody stools, Loss of appetite, Muscle aches, Feverish, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Nausea, Headache, Fatigue, Loss of appetite, Dehydration, Chills, Body aches, General discomfort, Irritability",Norovirus Infection,General Physician
"Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Rash, Fatigue, Headache, Red eyes, Vomiting, Loss of appetite, Abdominal pain, Body aches, Feverish",Roseola,General Physician
"Diarrhea, Vomiting, Muscle aches, Headache, Abdominal pain, Dehydration, Sweating, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Runny nose, Irritability, Fatigue, Headache, Rashes, Feverish",Roseola,General Physician
"Rash on hands and feet, Loss of appetite, Irritability, Sore throat, Mouth sores, Blisters, Fatigue, Headache, General discomfort, Mild fever, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"Headache, Dehydration, Body aches, Feverish, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Irritability, Sore throat, Headache, Red eyes, Diarrhea, Body aches, Chills",Roseola,General Physician
"Diarrhea, Low-grade fever, Nausea, Headache, Fatigue, Sweating, Rashes, General discomfort, Irritability",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Vomiting, Bloody stools, Stomach cramps, Fatigue, Dehydration",Shigellosis (Bacillary Dysentery),General Physician
"Swollen lymph nodes, Sore throat, Red eyes, Diarrhea, Loss of appetite, Abdominal pain, Body aches, Feverish",Roseola,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Stomach cramps, Headache, Loss of appetite, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Vomiting, Loss of appetite, Abdominal pain, Chills",Roseola,General Physician
"Diarrhea, Low-grade fever, Fatigue, Sweating, General discomfort, Fever",Norovirus Infection,General Physician
"Diarrhea, Vomiting, Muscle aches, Nausea, Headache, Fatigue, Abdominal pain, Fever, Irritability",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Nausea, Fatigue, Abdominal pain, Loss of appetite, Dehydration, General discomfort, Fever",Norovirus Infection,General Physician
"Diarrhea, Vomiting, Low-grade fever, Headache, Chills, Rashes, Fever",Norovirus Infection,General Physician
"Sores in mouth, Irritability, Red spots, Fatigue, Sore muscles, Headache, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"Sores in mouth, Rash on hands and feet, Irritability, Fatigue, Cough, Sore muscles, Headache, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"High fever, Runny nose, Rash, Sore throat, Cough, Red eyes, Vomiting, Feverish",Roseola,General Physician
"Fever, Sore throat, Mouth sores, Blisters, Fatigue, Cough, Headache, General discomfort, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Vomiting, Low-grade fever, Muscle aches, Nausea, Abdominal pain, Dehydration, Chills, Sweating, Irritability",Norovirus Infection,General Physician
"Rash on hands and feet, Irritability, Sore throat, Red spots, Blisters, Cough, Headache, General discomfort, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Fever, Sore throat, Red spots, Fatigue, Cough, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Diarrhea, Vomiting, Low-grade fever, Nausea, Headache, Abdominal pain, Loss of appetite, Dehydration, Sweating, Body aches, General discomfort, Irritability",Norovirus Infection,General Physician
"Vomiting, Low-grade fever, Nausea, Sweating, General discomfort",Norovirus Infection,General Physician
"Vomiting, Muscle aches, Nausea, Fatigue, Dehydration, Chills, Rashes",Norovirus Infection,General Physician
"High fever, Runny nose, Rash, Fatigue, Sore throat, Headache, Red eyes, Abdominal pain, Body aches",Roseola,General Physician
"High fever, Rash, Sore throat, Cough, Red eyes, Abdominal pain, Chills, Feverish",Roseola,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Stomach cramps, Headache, Fatigue, Loss of appetite, Muscle aches, Body aches, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Fatigue, Sweating, Body aches, Rashes, Fever",Norovirus Infection,General Physician
"Sore throat, Pale skin around lips, Difficulty swallowing, Nausea or vomiting",Scarlet Fever,General Physician
"Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Abdominal pain, Body aches, Rashes, Chills, Feverish",Roseola,General Physician
"Fever, Abdominal pain or cramps, Vomiting, Bloody stools, Stomach cramps, Muscle aches, Body aches, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Stomach cramps, Low-grade fever, Muscle aches, Nausea, Abdominal pain, Sweating, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Abdominal pain or cramps, Nausea, Bloody stools, Dehydration, Loss of appetite, Muscle aches, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Stomach cramps, Headache, Abdominal pain, Chills, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Irritability, Fatigue, Swollen lymph nodes, Headache, Cough, Red eyes, Body aches, Rashes, Chills",Roseola,General Physician
"Fever, Abdominal pain or cramps, Nausea, Bloody stools, Fatigue, Loss of appetite, Feverish, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Sneezing, Sneezing, Low-grade fever, Fatigue",Pertussis (Whooping Cough),General Physician
"High fever, Runny nose, Rash, Irritability, Sore throat, Red eyes, Loss of appetite, Abdominal pain, Rashes, Chills, Feverish",Roseola,General Physician
"Sore throat, Blisters, Mild fever, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Headache, Fatigue, Loss of appetite, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Irritability, Swollen lymph nodes, Headache, Cough",Roseola,General Physician
"Fever, Abdominal pain or cramps, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Rash, Fatigue, Swollen lymph nodes, Headache, Red eyes, Diarrhea, Vomiting, Feverish",Roseola,General Physician
"Fever, Vomiting, Stomach cramps, Headache, Fatigue, Muscle aches, Body aches, Rashes",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Muscle aches, Body aches, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Nausea, Bloody stools, Headache, Fatigue, Loss of appetite, Muscle aches, Body aches, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Red eyes, Feverish",Roseola,General Physician
"Abdominal pain or cramps, Nausea, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Body aches, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Fatigue, Swollen lymph nodes, Sore throat, Diarrhea, Loss of appetite, Abdominal pain, Chills, Feverish",Roseola,General Physician
"Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Diarrhea, Vomiting, Rashes, Chills, Feverish",Roseola,General Physician
"Diarrhea, Vomiting, Low-grade fever, Muscle aches, Nausea, Headache, Loss of appetite, Chills, General discomfort, Fever",Norovirus Infection,General Physician
"Vomiting, Nausea, Headache, Fatigue, Loss of appetite, Sweating, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Muscle aches, Headache, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Rashes, General discomfort, Fever",Norovirus Infection,General Physician
"High fever, Runny nose, Swollen lymph nodes, Headache, Cough, Abdominal pain, Rashes, Chills",Roseola,General Physician
"Low-grade fever, Muscle aches, Headache, Fatigue, Loss of appetite, Dehydration, Chills, Body aches, Rashes, General discomfort, Irritability",Norovirus Infection,General Physician
"Runny nose, Diarrhea, Vomiting, Loss of appetite, Body aches, Rashes, Chills",Roseola,General Physician
"Vomiting, Low-grade fever, Muscle aches, Nausea, Fatigue, Loss of appetite, Chills, Sweating, Body aches, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Diarrhea, Low-grade fever, Muscle aches, Nausea, Headache, Fatigue, Loss of appetite, Dehydration, Chills, Rashes",Norovirus Infection,General Physician
"Diarrhea, Muscle aches, Headache, Abdominal pain, Loss of appetite, Dehydration, Sweating, Body aches, General discomfort, Fever",Norovirus Infection,General Physician
"High fever, Fatigue, Sore throat, Red eyes, Vomiting, Body aches, Rashes, Chills, Feverish",Roseola,General Physician
"Abdominal pain or cramps, Fatigue, Loss of appetite, Muscle aches, Body aches, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
